ID;Age;Exp;RMM;F;DM;Educ;CEL;PP
1;25;1;49;4;1600;1;Non;Non
2;45;19;34;3;1500;1;Non;Non
3;39;15;11;1;1000;1;Non;Non
4;35;9;100;1;2700;2;Non;Non
5;35;8;45;4;1000;2;Non;Non
6;37;13;29;4;400;2;Non;Non
7;53;27;72;2;1500;2;Non;Non
8;50;24;22;1;300;3;Non;Non
9;35;10;81;3;600;2;Non;Non
10;34;9;180;1;8900;3;Non;Oui
11;65;39;105;4;2400;3;Non;Non
12;29;5;45;3;100;2;Non;Non
13;48;23;114;2;3800;3;Non;Non
14;59;32;40;4;2500;2;Non;Non
15;67;41;112;1;2000;1;Non;Non
16;60;30;22;1;1500;3;Non;Non
17;38;14;130;4;4700;3;Non;Oui
18;42;18;81;4;2400;1;Non;Non
19;46;21;193;2;8100;3;Non;Oui
20;55;28;21;1;500;2;Non;Non
21;56;31;25;4;900;2;Non;Non
22;57;27;63;3;2000;3;Non;Non
23;29;5;62;1;1200;1;Non;Non
24;44;18;43;2;700;1;Non;Non
25;36;11;152;2;3900;1;Non;Non
26;43;19;29;3;500;1;Non;Non
27;40;16;83;4;200;3;Non;Non
28;46;20;158;1;2400;1;Non;Non
29;56;30;48;1;2200;3;Non;Non
30;38;13;119;1;3300;2;Oui;Oui
31;59;35;35;1;1200;3;Non;Non
32;40;16;29;1;2000;2;Non;Non
33;53;28;41;2;600;3;Non;Non
34;30;6;18;3;900;3;Non;Non
35;31;5;50;4;1800;3;Non;Non
36;48;24;81;3;700;1;Non;Non
37;59;35;121;1;2900;1;Non;Non
38;51;25;71;1;1400;3;Non;Non
39;42;18;141;3;5000;3;Oui;Oui
40;38;13;80;4;700;3;Non;Non
41;57;32;84;3;1600;3;Non;Non
42;34;9;60;3;2300;1;Non;Non
43;32;7;132;4;1100;2;Non;Oui
44;39;15;45;1;700;1;Non;Non
45;46;20;104;1;5700;1;Non;Non
46;57;31;52;4;2500;1;Non;Non
47;39;14;43;3;700;2;Non;Non
48;37;12;194;4;200;3;Oui;Oui
49;56;26;81;2;4500;3;Non;Non
50;40;16;49;1;1800;1;Non;Non
51;32;8;8;4;700;2;Non;Non
52;61;37;131;1;2900;1;Non;Non
53;30;6;72;1;100;1;Non;Non
54;50;26;190;3;2100;3;Non;Oui
55;29;5;44;1;200;3;Non;Non
56;41;17;139;2;8000;1;Non;Non
57;55;30;29;3;100;2;Oui;Non
58;56;31;131;2;1200;3;Non;Oui
59;28;2;93;2;200;1;Non;Non
60;31;5;188;2;4500;1;Non;Non
61;49;24;39;3;1700;2;Non;Non
62;47;21;125;1;5700;1;Non;Non
63;42;18;22;1;1000;1;Non;Non
65;47;23;105;2;3300;1;Non;Non
66;59;35;131;1;3800;1;Non;Non
67;62;36;105;2;2800;1;Non;Non
68;53;23;45;4;2000;3;Non;Non
69;47;21;60;3;2100;1;Non;Non
70;53;29;20;4;200;1;Non;Non
71;42;18;115;1;3500;1;Non;Non
72;53;29;69;4;1000;2;Non;Non
73;44;20;130;1;5000;1;Non;Non
74;41;16;85;1;4000;3;Non;Non
75;28;3;135;2;3300;1;Non;Non
76;31;7;135;4;3800;2;Oui;Oui
77;58;32;12;3;300;3;Non;Non
78;46;20;29;3;500;2;Non;Non
79;54;30;133;2;2600;3;Non;Oui
80;50;26;19;2;400;1;Non;Non
81;60;36;41;4;1300;1;Non;Non
82;47;22;40;3;2700;2;Non;Non
83;41;16;82;1;4000;3;Non;Non
84;33;9;50;1;2400;2;Non;Non
85;46;22;18;1;900;3;Non;Non
86;27;2;109;4;1800;3;Non;Non
87;40;16;42;4;2200;2;Non;Non
